Pokemon,No.,Caught?,Sword,Shield,Expansion Pass,Brilliant Diamond,Shining Pearl,Legends: Arceus,Sword Expansion Pass,Shield Expansion Pass
Politoed,#0186,False,Trade Version 1.2.0+,Trade Version 1.2.0+,Soothing Wetlands (Wanderer) Max Lair (Dynamax Adventure),Evolve Poliwhirl,Evolve Poliwhirl,Unobtainable,,
Hoppip,#0187,False,Unobtainable,Unobtainable,,"Route 205 (North and South) (Poké Radar) Grand Underground - Grassland Cave, Sunlit Cavern (After obtaining the National Pokédex)","Route 205 (South), Fuego Ironworks (Poké Radar) Grand Underground - Grassland Cave, Sunlit Cavern (After obtaining the National Pokédex)",Unobtainable,,
Skiploom,#0188,False,Unobtainable,Unobtainable,,"Route 205 (North) (Poké Radar) Grand Underground - Grassland Cave, Sunlit Cavern (After obtaining the National Pokédex)","Fuego Ironworks (Poké Radar) Grand Underground - Grassland Cave, Sunlit Cavern (After obtaining the National Pokédex)",Unobtainable,,
Jumpluff,#0189,False,Unobtainable,Unobtainable,,Evolve Skiploom,Evolve Skiploom,Unobtainable,,
Aipom,#0190,False,Unobtainable,Unobtainable,,"Routes 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 218, 221, 222, Eterna Forest, Floaroma Meadow, Fuego Ironworks, Valley Windworks (Honey Trees) Grand Underground - Spacious Cave (After obtaining T M97 (Defog))","Routes 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 218, 221, 222, Eterna Forest, Floaroma Meadow, Fuego Ironworks, Valley Windworks (Honey Trees) Grand Underground - Spacious Cave (After obtaining T M97 (Defog))","Obsidian Fieldlands: Ramanas Island Cobalt Coastlands: Aipom Hill (also shaking trees), Hideaway Bay, massive mass outbreaks Alabaster Icelands: Avalanche Slopes, Whiteout Valley, Bonechill Wastes, near Icebound Falls, near Arena's Approach, near Avalugg's Legacy, Snowfall Hot Spring, Glacier Terrace, Heart's Crag, near Pearl Settlement, massive mass outbreaks",,
Sunkern,#0191,False,Unobtainable,Unobtainable,,"Northern Route 204 (Poké Radar) Grand Underground - Grassland Cave, Sunlit Cavern (After obtaining the National Pokédex)","Northern Route 204 (Poké Radar) Grand Underground - Grassland Cave, Sunlit Cavern (After obtaining the National Pokédex)",Unobtainable,,
Sunflora,#0192,False,Unobtainable,Unobtainable,,Evolve Sunkern,Evolve Sunkern,Unobtainable,,
Yanma,#0193,False,Unobtainable,Unobtainable,,Great Marsh (after obtaining National Pokédex),Great Marsh (after obtaining National Pokédex),"Crimson Mirelands: Gapejaw Bog, Ursa's Ring, Droning Meadow, massive mass outbreaks Coronet Highlands: Heavenward Lookout Day, Heavenward Lookout (mass outbreaks), massive mass outbreaks",,
Wooper,#0194,False,"West Lake Axewell, South Lake Miloch, Giant's Seat, Giant's Cap Dusty Bowl, Rolling Fields, West Lake Axewell (Max Raid Battle)","West Lake Axewell, South Lake Miloch, Giant's Seat, Giant's Cap Dusty Bowl, Rolling Fields, West Lake Axewell (Max Raid Battle)",Soothing Wetlands,"Route 212, Great Marsh Grand Underground - Fountainspring Cave, Swampy Cave, Bogsunk Cavern (After obtaining the T M97 (Defog))","Route 212, Great Marsh Grand Underground - Fountainspring Cave, Swampy Cave, Bogsunk Cavern (After obtaining the T M97 (Defog))",Unobtainable,,
Quagsire,#0195,False,"Giant's Seat, Giant's Cap, Lake of Outrage West Lake Axewell (Wanderer) Dusty Bowl, Rolling Fields, West Lake Axewell (Max Raid Battle)","Giant's Seat, Giant's Cap, Lake of Outrage West Lake Axewell (Wanderer) Dusty Bowl, Rolling Fields, West Lake Axewell (Max Raid Battle)",Soothing Wetlands (Wanderer) Max Lair (Dynamax Adventure),"Route 212 and Great Marsh (Surfing) Great Marsh (tall grass) Grand Underground - Fountainspring Cave, Swampy Cave, Bogsunk Cavern (After obtaining the T M97 (Defog))","Route 212 and Great Marsh (Surfing) Great Marsh (tall grass) Grand Underground - Fountainspring Cave, Swampy Cave, Bogsunk Cavern (After obtaining the T M97 (Defog))",Unobtainable,,
Espeon,#0196,False,Lake of Outrage (Wanderer) Hammerlocke Hills (Max Raid Battle),Lake of Outrage (Wanderer) Hammerlocke Hills (Max Raid Battle),Giant's Bed (Wanderer) Ballimere Lake (Max Raid Battle),Evolve Eevee,Evolve Eevee,Alabaster Icelands: Space-time distortions,,
Umbreon,#0197,False,Lake of Outrage (Wanderer) Giant's Mirror (Max Raid Battle),Lake of Outrage (Wanderer) Giant's Mirror (Max Raid Battle),Giant's Bed (Wanderer) Ballimere Lake (Max Raid Battle),Evolve Eevee,Evolve Eevee,Crimson Mirelands: Space-time distortions,,
Murkrow,#0198,False,Unobtainable,Unobtainable,,"Eterna Forest and Lost Tower Night Grand Underground - Spacious Cave, Grassland Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern",Trade,"Crimson Mirelands: Cloudpool Ridge Night (also mass outbreaks nearby Day Night), massive mass outbreaks Cobalt Coastlands: Crossing Slope Night, Ginkgo Landing Night, Aipom Hill Night, Bathers' Lagoon Night, Hideaway Bay Night, Castaway Shore Night, Windbreak Stand Night, Spring Path Night, Islespy Shore Night, Veilstone Cape Night",,
Slowking,#0199,False,Trade Version 1.2.0+ (Johtonian Form) / Version 1.3.0+ (Galarian Form),Trade Version 1.2.0+ (Johtonian Form) / Version 1.3.0+ (Galarian Form),Evolve Slowpoke (Galarian Form) Max Lair (Dynamax Adventure) (Johtonian Form),Trade (Johtonian Form) Unobtainable (Galarian Form),Evolve Slowpoke (Johtonian Form) Unobtainable (Galarian Form),Unobtainable,,
Misdreavus,#0200,False,Unobtainable,Unobtainable,,Trade,"Eterna Forest, Lost Tower Night Grand Underground - Dazzling Cave, Stargleam Cavern","Coronet Highlands: near Celestica Ruins Night, Sacred Plaza Night (also mass outbreaks nearby Day Night), Stonetooth Rows Night, massive mass outbreaks Alabaster Icelands: Avalanche Slopes Night and nearby (also mass outbreaks Day Night), near Glacier Terrace, Icepeak Cavern, Ice Column Chamber, massive mass outbreaks",,
Unown,#0201,False,Unobtainable,Unobtainable,,Solaceon Ruins (different forms appear in different rooms),Solaceon Ruins (different forms appear in different rooms),"Crimson Mirelands: Solaceon Ruins, massive mass outbreaks (all 28 forms appear after completing the Unown Research Notes) All over Hisui: one of each form",,
Wobbuffet,#0202,False,"Route 5, Motostoke Riverbank, Bridge Field, Dusty Bowl, Hammerlocke Hills, Lake of Outrage Motostoke Riverbank, Stony Wilderness, Hammerlocke Hills (Max Raid Battle)","Route 5, Motostoke Riverbank, Bridge Field, Dusty Bowl, Hammerlocke Hills, Lake of Outrage Motostoke Riverbank, Stony Wilderness, Hammerlocke Hills (Max Raid Battle)",,"Lake Verity, Lake Acuity, Lake Valor (Poké Radar) Grand Underground - Dazzling Cave, Stargleam Cavern (After obtaining the National Pokédex)","Lake Verity, Lake Acuity, Lake Valor (Poké Radar) Grand Underground - Dazzling Cave, Stargleam Cavern (After obtaining the National Pokédex)",Unobtainable,,
Girafarig,#0203,False,Unobtainable,Unobtainable,,"Route 214 and Valor Lakefront Grand Underground - Stargleam Cavern, Dazzling Cave (After obtaining T M97 (Defog))","Route 214 and Valor Lakefront Grand Underground - Stargleam Cavern, Dazzling Cave (After obtaining T M97 (Defog))",Unobtainable,,
Pineco,#0204,False,Unobtainable,Unobtainable,,"Grand Underground - Grassland Cave, Sunlit Cavern, Swampy Cave, Bogsunk Cavern (After obtaining the National Pokédex)","Grand Underground - Grassland Cave, Sunlit Cavern, Swampy Cave, Bogsunk Cavern (After obtaining the National Pokédex)",Unobtainable,,
Forretress,#0205,False,Unobtainable,Unobtainable,,Evolve Pineco,Evolve Pineco,Unobtainable,,
Dunsparce,#0206,False,Trade Version 1.2.0+,Trade Version 1.2.0+,Soothing Wetlands Fields of Honor (Max Raid Battle) Max Lair (Dynamax Adventure),Route 208 (Swarm),Route 208 (Swarm),Unobtainable,,
Gligar,#0207,False,Unobtainable,Unobtainable,,"Grand Underground - Rocky Cave, Swampy Cave, Big Bluff Cavern, Sunlit Cavern, Big Bluff Cavern, Bogsunk Cavern",Trade,"Coronet Highlands: Clamberclaw Cliffs, Celestica Ruins and nearby (additional ), near Primeval Grotto, near Cloudcap Pass, massive mass outbreaks Alabaster Icelands: Arena's Approach, Glacier Terrace Day, Glacier Terrace (mass outbreaks)",,
Steelix,#0208,False,"Giant's Mirror, Giant's Seat (Wanderer) Bridge Field, Giant's Seat, Hammerlocke Hills, Rolling Fields, Stony Wilderness (Max Raid Battle)","Giant's Mirror, Giant's Seat (Wanderer) Bridge Field, Giant's Seat, Hammerlocke Hills, Rolling Fields, Stony Wilderness (Max Raid Battle)",,"Victory Road, Iron Island, Snowpoint Temple","Victory Road, Iron Island, Snowpoint Temple","Obsidian Fieldlands: Space-time distortions Coronet Highlands: Celestica Trail , massive mass outbreaks Cobalt Coastlands: massive mass outbreaks",,
Snubbull,#0209,False,Unobtainable,Unobtainable,,"Route 209 (Swarm) Grand Underground - Dazzling Cave, Stargleam Cavern (After obtaining the National Pokédex)","Route 209 (Swarm) Grand Underground - Dazzling Cave, Stargleam Cavern (After obtaining the National Pokédex)",Unobtainable,,
Granbull,#0210,False,Unobtainable,Unobtainable,,Evolve Snubbull,Evolve Snubbull,Unobtainable,,
Qwilfish,#0211,False,"Dusty Bowl, Lake of Outrage, Bridge Field, Route 9 Bridge Field, Dusty Bowl, East Lake Axewell, Giant's Cap, Hammerlocke Hills, Lake of Outrage, Motostoke Riverbank, North Lake Miloch, South Lake Miloch, West Lake Axewell (Max Raid Battle)","Dusty Bowl, Lake of Outrage, Bridge Field, Route 9 Bridge Field, Dusty Bowl, East Lake Axewell, Giant's Cap, Hammerlocke Hills, Lake of Outrage, Motostoke Riverbank, North Lake Miloch, South Lake Miloch, West Lake Axewell (Max Raid Battle)",Max Lair (Dynamax Adventure),"Iron Island (Super Rod) Grand Underground - Fountainspring Cave, Riverbank Cave, Still- Water Cavern, Swampy Cave, Bogsunk Cavern (After obtaining the National Pokédex)","Iron Island (Super Rod) Grand Underground - Fountainspring Cave, Riverbank Cave, Still- Water Cavern, Swampy Cave, Bogsunk Cavern (After obtaining the National Pokédex)","Obsidian Fieldlands: near Ramanas Island (Hisuian Form) Cobalt Coastlands: near Bathers' Lagoon, near Hideaway Bay, near Tombolo Walk, near Sand's Reach, Tranquility Cove, Islespy Shore and nearby (additional ), Lunker's Lair, near Seagrass Haven, near Firespit Island, massive mass outbreaks (Hisuian Form) Unobtainable (Johtonian Form)",,
Scizor,#0212,False,Trade Version 1.2.0+,Trade Version 1.2.0+,Training Lowlands (Wanderer) Challenge Road (Wanderer) Fields of Honor (Max Raid Battle),Evolve Scyther,Trade,Alabaster Icelands: Space-time distortions,,
Shuckle,#0213,False,"Dusty Bowl, Galar Mine No. 2, Giant's Cap, Stony Wilderness, Watchtower Ruins Rolling Fields, Stony Wilderness (Max Raid Battle)","Dusty Bowl, Galar Mine No. 2, Giant's Cap, Stony Wilderness, Watchtower Ruins Rolling Fields, Stony Wilderness (Max Raid Battle)","Ballimere Lake Fields of Honor, Forest of Focus, Training Lowlands, Potbottom Desert, Workout Sea, Slippery Slope, Giant's Bed, Snowslide Slope, Ballimere Lake (Max Raid Battle)","Grand Underground - Grassland Cave, Rocky Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern, Big Bluff Cavern (After obtaining the National Pokédex)","Grand Underground - Grassland Cave, Rocky Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern, Big Bluff Cavern (After obtaining the National Pokédex)",Unobtainable,,
Heracross,#0214,False,Trade Version 1.2.0+,Trade Version 1.2.0+,,"Routes 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 218, 221, and 222, Eterna Forest, Floaroma Meadow, Fuego Ironworks, Valley Windworks (Honey Trees)","Routes 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 218, 221, and 222, Eterna Forest, Floaroma Meadow, Fuego Ironworks, Valley Windworks (Honey Trees)","Obsidian Fieldlands: Grueling Grove Crimson Mirelands: Space-time distortions Coronet Highlands: Wayward Wood Day, massive mass outbreaks

Coronet Highlands: Wayward Wood, Sonorous Path Shaking trees",,"Training Lowlands Challenge Road, Training Lowlands, Forest of Focus (Wanderer) Fields of Honor (Max Raid Battle)"
Sneasel,#0215,False,"Routes 8 and 10, Motostoke Riverbank, Bridge Field, Stony Wilderness, Dusty Bowl, Giant's Cap, Hammerlocke Hills Bridge Field, Giant's Cap, Hammerlocke Hills, Stony Wilderness, West Lake Axewell (Max Raid Battle)","Routes 8 and 10, Motostoke Riverbank, Bridge Field, Stony Wilderness, Dusty Bowl, Giant's Cap, Hammerlocke Hills Bridge Field, Giant's Cap, Hammerlocke Hills, Stony Wilderness, West Lake Axewell (Max Raid Battle)","Slippery Slope, Frostpoint Field, Snowslide Slope, Frigid Sea Frostpoint Field, Giant's Bed, Snowslide Slope, Giant's Foot, Frigid Sea (Max Raid Battle) Max Lair (Dynamax Adventure)","Routes 216 and 217, Acuity Lakefront, Lake Acuity, Snowpoint Temple Grand Underground - Whiteout Cave, Icy Cave, Glacial Cavern (After defeating Candice)","Routes 216 and 217, Acuity Lakefront, Lake Acuity, Snowpoint Temple Grand Underground - Whiteout Cave, Icy Cave, Glacial Cavern (After defeating Candice)","Obsidian Fieldlands: Space-time distortions (Johtonian Form) Coronet Highlands: near Celestica Trail, near Primeval Grotto, massive mass outbreaks (Hisuian Form) Alabaster Icelands: near Avalugg's Legacy (additional ), Glacier Terrace, near Pearl Settlement (Hisuian Form)",,
Teddiursa,#0216,False,Unobtainable,Unobtainable,,Trade,"Grand Underground - Grassland Cave*, Spacious Cave*, Rocky Cave, Sunlit Cavern, Whiteout Cave, Glacial Cavern, Icy Cave*","Crimson Mirelands: near Golden Lowlands (mass outbreaks), Ursa's Ring, near Droning Meadow, massive mass outbreaks Coronet Highlands: Sonorous Path",,
Ursaring,#0217,False,Unobtainable,Unobtainable,,Trade,Evolve Teddiursa,"Obsidian Fieldlands: Space-time distortions Crimson Mirelands: near Gapejaw Bog , Ursa's Ring , near Droning Meadow, massive mass outbreaks Coronet Highlands: Sonorous Path",,
Slugma,#0218,False,Unobtainable,Unobtainable,,"Stark Mountain Grand Underground - Volcanic Cave, Sandsear Cave, Typhlo Cavern (After obtaining the National Pokédex)","Stark Mountain Grand Underground - Volcanic Cave, Sandsear Cave, Typhlo Cavern (After obtaining the National Pokédex)",Unobtainable,,
Magcargo,#0219,False,Unobtainable,Unobtainable,,"Stark Mountain Grand Underground - Volcanic Cave, Sandsear Cave, Typhlo Cavern (After obtaining the National Pokédex)","Stark Mountain Grand Underground - Volcanic Cave, Sandsear Cave, Typhlo Cavern (After obtaining the National Pokédex)",Unobtainable,,
Swinub,#0220,False,"Rolling Fields, Giant's Seat, Giant's Mirror, Hammerlocke Hills Dusty Bowl, Stony Wilderness (Max Raid Battle)","Rolling Fields, Giant's Seat, Giant's Mirror, Hammerlocke Hills, Dusty Bowl Dusty Bowl, Stony Wilderness (Max Raid Battle)",,"Route 217 (Swarm) Grand Underground - Icy Cave, Swampy Cave, Whiteout Cave, Glacial Cavern, Bogsunk Cavern","Route 217 (Swarm) Grand Underground - Icy Cave, Swampy Cave, Whiteout Cave, Glacial Cavern, Bogsunk Cavern","Crimson Mirelands: massive mass outbreaks Alabaster Icelands: Avalanche Slopes, Bonechill Wastes (additional  nearby), near Arena's Approach, Avalugg's Legacy, massive mass outbreaks",Slippery Slope,"Slippery Slope Slippery Slope, Giant's Bed, Snowslide Slope, Frigid Sea (Max Raid Battle)"
Piloswine,#0221,False,"Dusty Bowl, Lake of Outrage Dusty Bowl, East Lake Axewell, Rolling Fields (Wanderer) Dusty Bowl, Stony Wilderness (Max Raid Battle)","Dusty Bowl, Lake of Outrage Dusty Bowl, East Lake Axewell, Rolling Fields (Wanderer) Dusty Bowl, Stony Wilderness (Max Raid Battle)","Slippery Slope, Roaring- Sea Caves Max Lair (Dynamax Adventure) Slippery Slope, Giant's Bed, Snowslide Slope, Frigid Sea (Max Raid Battle)",Evolve Swinub,Evolve Swinub,"Crimson Mirelands: massive mass outbreaks Alabaster Icelands: Avalanche Slopes, Bonechill Wastes, Arena's Approach and nearby (additional ), Avalugg's Legacy, massive mass outbreaks",,
Corsola,#0222,False,Trade Version 1.2.0+ (Johtonian Form) Trade (Galarian Form),"Trade Version 1.2.0+ (Johtonian Form) Giant's Mirror (Galarian Form) Giant's Mirror, South Lake Miloch, Stony Wilderness, Watchtower Ruins (Max Raid Battle) (Galarian Form)",,"Route 230 (Swarm) (Johtonian Form) Grand Underground - Fountainspring Cave, Riverbank Cave, Still- Water Cavern (After obtaining the National Pokédex) (Johtonian Form) Unobtainable (Galarian Form)","Route 230 (Swarm) (Johtonian Form) Grand Underground - Fountainspring Cave, Riverbank Cave, Still- Water Cavern (After obtaining the National Pokédex) (Johtonian Form) Unobtainable (Galarian Form)",Unobtainable,,"Trade Galarian Corsola with Regina on Isle of Armor (Johtonian Form) Slippery Slope, Old Cemetery, Giant's Foot, Frigid Sea, Ballimere Lake (Max Raid Battle) (Galarian Form)"
Remoraid,#0223,False,"Route 9, South Lake Miloch, West Lake Axewell East Lake Axewell, North Lake Miloch, South Lake Miloch, West Lake Axewell, North Lake Miloch (Max Raid Battle)","Route 9, South Lake Miloch, West Lake Axewell East Lake Axewell, North Lake Miloch, South Lake Miloch, West Lake Axewell, North Lake Miloch (Max Raid Battle)","Fields of Honor, Workout Sea Fields of Honor, Loop Lagoon (Max Raid Battle)","Routes 213, 222, 223, 224, and 230, Pastoria City, Sunyshore City, Pokémon League (Good Rod)","Routes 213, 222, 223, 224, and 230, Pastoria City, Sunyshore City, Pokémon League (Good Rod)","Cobalt Coastlands: near Bathers' Lagoon, near Hideaway Bay, near Deadwood Haunt, near Tombolo Walk, Sand's Reach, Tranquility Cove, near Castaway Shore",,
Octillery,#0224,False,"Route 9 Route 9, Axew's Eye (Fishing) South Lake Miloch (Wanderer) East Lake Axewell, North Lake Miloch, South Lake Miloch, West Lake Axewell, North Lake Miloch (Max Raid Battle)","Route 9 Route 9, Axew's Eye (Fishing) South Lake Miloch (Wanderer) East Lake Axewell, North Lake Miloch, South Lake Miloch, West Lake Axewell, North Lake Miloch (Max Raid Battle)","Fields of Honor, Workout Sea (Fishing) Challenge Beach, Loop Lagoon (Wanderer) Fields of Honor, Loop Lagoon (Max Raid Battle) Max Lair (Dynamax Adventure)","Routes 213, 222, 223, 224, and 230, Pastoria City, Sunyshore City, Pokémon League (Super Rod) Grand Underground - Fountainspring Cave, Riverbank Cave, Still- Water Cavern (After obtaining T M99 (Waterfall))","Routes 213, 222, 223, 224, and 230, Pastoria City, Sunyshore City, Pokémon League (Super Rod) Grand Underground - Fountainspring Cave, Riverbank Cave, Still- Water Cavern (After obtaining T M99 (Waterfall))","Cobalt Coastlands: Castaway Shore  (also mass outbreaks), near Islespy Shore, Seaside Hollow (after catching Manaphy during Request 66) Coronet Highlands: Space-time distortions",,
Delibird,#0225,False,"Route 8, Rolling Fields, Dappled Grove, West Lake Axewell, Axew's Eye, Watchtower Ruins, North Lake Miloch, South Lake Miloch, Giant's Seat, Giant's Mirror, Giant's Cap, Dusty Bowl, Hammerlocke Hills Dusty Bowl, East Lake Axewell, Giant's Cap, Hammerlocke Hills, Stony Wilderness (Max Raid Battle)","Route 8, Rolling Fields, Dappled Grove, West Lake Axewell, Axew's Eye, Watchtower Ruins, North Lake Miloch, South Lake Miloch, Giant's Seat, Giant's Mirror, Giant's Cap, Dusty Bowl, Hammerlocke Hills Dusty Bowl, East Lake Axewell, Giant's Cap, Giant's Seat, Hammerlocke Hills, Stony Wilderness (Max Raid Battle)","Snowslide Slope Slippery Slope, Frostpoint Field, Giant's Bed, Old Cemetery, Snowslide Slope, Path to the Peak, Crown Shrine, Giant's Foot, Frigid Sea, Three- Point Pass, Ballimere Lake, Dyna Tree Hill (Max Raid Battle)","Route 216 (Swarm) Grand Underground - Whiteout Cave, Icy Cave, Glacial Cavern (After obtaining the National Pokédex)","Route 216 (Swarm) Grand Underground - Whiteout Cave, Icy Cave, Glacial Cavern (After obtaining the National Pokédex)",Unobtainable,,
