Pokemon,No.,Caught?,Sun,Moon,Ultra Sun,Ultra Moon,Let's Go Pikachu,Let's Go Eevee
Tapu Koko,#0785,False,Ruins of Conflict (after becoming Champion) (Only one),Ruins of Conflict (after becoming Champion) (Only one),Ruins of Conflict (after becoming Champion) (Only one),Ruins of Conflict (after becoming Champion) (Only one),Unobtainable,Unobtainable
Tapu Lele,#0786,False,Ruins of Life (after becoming Champion) (Only one),Ruins of Life (after becoming Champion) (Only one),Ruins of Life (after becoming Champion) (Only one),Ruins of Life (after becoming Champion) (Only one),Unobtainable,Unobtainable
Tapu Bulu,#0787,False,Ruins of Abundance (after becoming Champion) (Only one),Ruins of Abundance (after becoming Champion) (Only one),Ruins of Abundance (after becoming Champion) (Only one),Ruins of Abundance (after becoming Champion) (Only one),Unobtainable,Unobtainable
Tapu Fini,#0788,False,Ruins of Hope (after becoming Champion) (Only one),Ruins of Hope (after becoming Champion) (Only one),Ruins of Hope (after becoming Champion) (Only one),Ruins of Hope (after becoming Champion) (Only one),Unobtainable,Unobtainable
Cosmog,#0789,False,Lake of the Sunne (Only one),Lake of the Moone (Only one),Lake of the Sunne (Only one),Lake of the Moone (Only one),Unobtainable,Unobtainable
Cosmoem,#0790,False,Evolve Cosmog,Evolve Cosmog,Evolve Cosmog,Evolve Cosmog,Unobtainable,Unobtainable
Solgaleo,#0791,False,Altar of the Sunne (Only one),Trade,Mahalo Trail (Only one),Trade,Unobtainable,Unobtainable
Lunala,#0792,False,Trade,Altar of the Moone (Only one),Trade,Mahalo Trail (Only one),Unobtainable,Unobtainable
Nihilego,#0793,False,Diglett's Tunnel or Wela Volcano Park (Only one for either location),Diglett's Tunnel or Wela Volcano Park (Only one for either location),Ultra Deep Sea,Ultra Deep Sea,Unobtainable,Unobtainable
Buzzwole,#0794,False,Melemele Meadow (Only two),Trade,Ultra Jungle,Trade,Unobtainable,Unobtainable
Pheromosa,#0795,False,Trade,Verdant Cavern (Only four),Trade,Ultra Desert,Unobtainable,Unobtainable
Xurkitree,#0796,False,Lush Jungle or Memorial Hill (Only two for either location),Lush Jungle or Memorial Hill (Only two for either location),Ultra Plant,Ultra Plant,Unobtainable,Unobtainable
Celesteela,#0797,False,Trade,Haina Desert or Malie Garden (Only two for either location),Trade,Ultra Crater,Unobtainable,Unobtainable
Kartana,#0798,False,Route 17 or Malie Garden (Only four for either location),Trade,Ultra Forest,Trade,Unobtainable,Unobtainable
Guzzlord,#0799,False,Resolution Cave (Only one),Resolution Cave (Only one),Ultra Ruin,Ultra Ruin,Unobtainable,Unobtainable
Necrozma,#0800,False,Ten Carat Hill (Only one),Ten Carat Hill (Only one),Mount Lanakila (Only one),Mount Lanakila (Only one),Unobtainable,Unobtainable
Magearna,#0801,False,Hau'oli City (Q R Scanner),Hau'oli City (Q R Scanner),Hau'oli City (Q R Scanner),Hau'oli City (Q R Scanner),Unobtainable,Unobtainable
Marshadow,#0802,False,Event,Event,Trade,Trade,Unobtainable,Unobtainable
Poipole,#0803,False,Unobtainable,Unobtainable,Received from Soliera U S/ Dulse U M in Megalo Tower or Ultra Megalopolis*,Received from Soliera U S/ Dulse U M in Megalo Tower or Ultra Megalopolis*,Unobtainable,Unobtainable
Naganadel,#0804,False,Unobtainable,Unobtainable,Evolve Poipole,Evolve Poipole,Unobtainable,Unobtainable
Stakataka,#0805,False,Unobtainable,Unobtainable,Trade,Poni Grove (Only two),Unobtainable,Unobtainable
Blacephalon,#0806,False,Unobtainable,Unobtainable,Poni Grove (Only two),Trade,Unobtainable,Unobtainable
Zeraora,#0807,False,Unavailable,Unavailable,Event,Event,Unobtainable,Unobtainable
Meltan,#0808,False,Unavailable,Unavailable,Unavailable,Unavailable,Transfer from Pokémon G O to G O Park (International version) Event (Mainland Chinese version),Transfer from Pokémon G O to G O Park (International version) Event (Mainland Chinese version)
Melmetal,#0809,False,Unavailable,Unavailable,Unavailable,Unavailable,Transfer from Pokémon G O to G O Park (International version) Trade locally from international version of Let's Go Pikachu or Eevee (Mainland Chinese version),Transfer from Pokémon G O to G O Park (International version) Trade locally from international version of Let's Go Pikachu or Eevee (Mainland Chinese version)
