Pokemon,No.,Caught?,Scarlet,Violet,The Hidden Treasure of Area Zero,The Hidden Treasure of Area Zero (Scarlet),The Hidden Treasure of Area Zero (Violet)
Silicobra,#0843,False,"East Province: Area Three West Province: Asado Desert Tera Raid Battles (1★)


","East Province: Area Three West Province: Asado Desert Tera Raid Battles (1★)


",,,
Sandaconda,#0844,False,"West Province: Asado Desert Tera Raid Battles (4★)


","West Province: Asado Desert Tera Raid Battles (4★)


",,,
Cramorant,#0845,False,Trade Version 2.0.1+,Trade Version 2.0.1+,,"Fellhorn Gorge, Kitakami Wilds Tera Raid Battles (4★)","Union Circle Tera Raid Battle Search (4★)


"
Arrokuda,#0846,False,"South Province: Area One, Area Five, South Paldean Sea, Poco Path East Province: Area Two, Area Three, East Paldean Sea West Province: Area One, Area Two, West Paldean Sea Tera Raid Battles (2★)","South Province: Area One, Area Five, South Paldean Sea, Poco Path East Province: Area Two, Area Three, East Paldean Sea West Province: Area One, Area Two, West Paldean Sea Tera Raid Battles (2★)","Fellhorn Gorge, Oni Mountain, Oni's Maw, Crystal Pool, Chilling Waterhead, Kitakami Wilds


",,
Barraskewda,#0847,False,"South Province: South Paldean Sea East Province: Area Two, Area Three, East Paldean Sea West Province: Area Two, West Paldean Sea North Province: Area One, Area Three, North Paldean Sea, Glaseado Mountain Tera Raid Battles (4★)","South Province: South Paldean Sea East Province: Area Two, Area Three, East Paldean Sea West Province: Area Two, West Paldean Sea North Province: Area One, Area Three, North Paldean Sea, Glaseado Mountain Tera Raid Battles (4★)","Fellhorn Gorge, Oni Mountain, Chilling Waterhead


",,
Toxel,#0848,False,"South Province: Area One, Area Two, Area Four, Area Six Tera Raid Battles (1★)


","South Province: Area One, Area Two, Area Four, Area Six Tera Raid Battles (1★)


",,,
Toxtricity,#0849,False,"South Province: Alfornada Cavern, Area Six Tera Raid Battles (5★) (Amped S/ Low Key V Form)


","South Province: Alfornada Cavern, Area Six Tera Raid Battles (5★) (Amped S/ Low Key V Form)


",,,
Sizzlipede,#0850,False,"Unobtainable


","Unobtainable


",,,
Centiskorch,#0851,False,"Unobtainable


","Unobtainable


",,,
Clobbopus,#0852,False,"Unobtainable


","Unobtainable


",,,
Grapploct,#0853,False,"Unobtainable


","Unobtainable


",,,
Sinistea,#0854,False,South Province: Area Six East Province: Area Three Tera Raid Battles (2★) (Phony Form),South Province: Area Six East Province: Area Three Tera Raid Battles (2★) (Phony Form),"Canyon Biome, Chargestone Cavern


",,
Polteageist,#0855,False,"Tera Raid Battles (4★, 5★) (Phony Form)","Tera Raid Battles (4★, 5★) (Phony Form)","Evolve Sinistea


",,
Hatenna,#0856,False,"South Province: Area One, Area Two, Area Four West Province: Area Three Tera Raid Battles (1★)","South Province: Area One, Area Two, Area Four West Province: Area Three Tera Raid Battles (1★)","Apple Hills, Oni Mountain, Oni's Maw, Infernal Pass, Crystal Pool, Paradise Barrens, Kitakami Wilds, Timeless Woods


",,
Hattrem,#0857,False,South Province: Area Six East Province: Tagtree Thicket North Province: Glaseado Mountain Tera Raid Battles (3★),South Province: Area Six East Province: Tagtree Thicket North Province: Glaseado Mountain Tera Raid Battles (3★),"Kitakami Wilds, Timeless Woods


",,
Hatterene,#0858,False,Tera Raid Battles (5★),Tera Raid Battles (5★),"Timeless Woods


",,
Impidimp,#0859,False,East Province: Tagtree Thicket Tera Raid Battles (2★),East Province: Tagtree Thicket Tera Raid Battles (2★),"Kitakami Wilds, Timeless Woods


",,
Morgrem,#0860,False,East Province: Tagtree Thicket Tera Raid Battles (3★),East Province: Tagtree Thicket Tera Raid Battles (3★),"Kitakami Wilds, Timeless Woods


",,
Grimmsnarl,#0861,False,Tera Raid Battles (5★),Tera Raid Battles (5★),"Timeless Woods


",,
Obstagoon,#0862,False,"Unobtainable


","Unobtainable


",,,
Perrserker,#0863,False,"Evolve Meowth (Galarian Form)


","Evolve Meowth (Galarian Form)


",,,
Cursola,#0864,False,"Unobtainable


","Unobtainable


",,,
Sirfetch'd,#0865,False,"Unobtainable


","Unobtainable


",,,
Mr. Rime,#0866,False,"Unobtainable


","Unobtainable


",,,
Runerigus,#0867,False,"Unobtainable


","Unobtainable


",,,
Milcery,#0868,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Chargestone Cavern, Polar Biome Tera Raid Battles (2★)


",,
Alcremie,#0869,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Tera Raid Battles (5★, 6★)


",,
Falinks,#0870,False,"West Province: Area One, Area Two North Province: Area Two East Province: Area Three (Steel Tera Type) Tera Raid Battles (4★, 5★)


","West Province: Area One, Area Two North Province: Area Two East Province: Area Three (Steel Tera Type) Tera Raid Battles (4★, 5★)


",,,
Pincurchin,#0871,False,"East Province: Area Two West Province: Area Two North Province: Area One, Area Three North Province: Glaseado Mountain (Electric Tera Type) Tera Raid Battles (3★, 5★, 6★)


","East Province: Area Two West Province: Area Two North Province: Area One, Area Three North Province: Glaseado Mountain (Electric Tera Type) Tera Raid Battles (3★, 5★, 6★)


",,,
Snom,#0872,False,"North Province: Dalizapa Passage, Glaseado Mountain Tera Raid Battles (1★) Trade Flabébé in Cortondo


","North Province: Dalizapa Passage, Glaseado Mountain Tera Raid Battles (1★) Trade Flabébé in Cortondo


",,,
Frosmoth,#0873,False,"North Province: Area One, Glaseado Mountain Area Zero Tera Raid Battles (4★, 6★)


","North Province: Area One, Glaseado Mountain Area Zero Tera Raid Battles (4★, 6★)


",,,
Stonjourner,#0874,False,West Province: Asado Desert Tera Raid Battles (4★),"Union Circle Tera Raid Battle Search (4★)


",,,
Eiscue,#0875,False,Union Circle Tera Raid Battle Search (4★),"North Province: Area Three, North Paldean Sea Tera Raid Battles (4★)


",,,
Indeedee,#0876,False,"North Province: Area One Tera Raid Battles (3★, 5★)","North Province: Area One Tera Raid Battles (3★, 5★)","Oni Mountain, Paradise Barrens, Kitakami Wilds, Timeless Woods


",,
Morpeko,#0877,False,Trade Version 2.0.1+,Trade Version 2.0.1+,,"Union Circle Tera Raid Battle Search (4★, 6★)","Apple Hills, Reveler's Road, Oni Mountain, Oni's Maw, Wistful Fields, Paradise Barrens Tera Raid Battles (4★, 6★)


"
Cufant,#0878,False,"East Province: Area Three Tera Raid Battles (2★)


","East Province: Area Three Tera Raid Battles (2★)


",,,
Copperajah,#0879,False,"South Province: Area Six North Province: Casseroya Lake, Dalizapa Passage, Glaseado Mountain, Area One, Area Two, Area Three Area Zero Tera Raid Battles (5★)


","South Province: Area Six North Province: Casseroya Lake, Dalizapa Passage, Glaseado Mountain, Area One, Area Two, Area Three Area Zero Tera Raid Battles (5★)


",,,
Dracozolt,#0880,False,"Unobtainable


","Unobtainable


",,,
Arctozolt,#0881,False,"Unobtainable


","Unobtainable


",,,
Dracovish,#0882,False,"Unobtainable


","Unobtainable


",,,
Arctovish,#0883,False,"Unobtainable


","Unobtainable


",,,
Duraludon,#0884,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Chargestone Cavern, Polar Biome Tera Raid Battles (5★, 6★)


",,
Dreepy,#0885,False,Union Circle Tera Raid Battle Search (3★),"South Province: Area One, Area Four, Area Five, Area Six East Province: Area Two, Area Three West Province: Area Two, Area Three North Province: Glaseado Mountain Area Zero Tera Raid Battles (3★)


",,,
Drakloak,#0886,False,Union Circle Tera Raid Battle Search (4★),"North Province: Area One, Area Two, Area Three, Casseroya Lake, Glaseado Mountain Tera Raid Battles (4★)


",,,
Dragapult,#0887,False,"Tera Raid Battle Search (5★, 6★)","Tera Raid Battles (5★, 6★)


",,,
Zacian,#0888,False,"Pokémon HOME


","Pokémon HOME


",,,
Zamazenta,#0889,False,"Pokémon HOME


","Pokémon HOME


",,,
Eternatus,#0890,False,"Pokémon HOME


","Pokémon HOME


",,,
Kubfu,#0891,False,Trade,Trade,"North Province: Area Two after receiving the Kubfu Treat from Snacksworth (Only one)  (Solo Quest)


",,
Urshifu,#0892,False,"Pokémon HOME, Trade Version 3.0.0+","Pokémon HOME, Trade Version 3.0.0+","Evolve Kubfu


",,
Zarude,#0893,False,"Pokémon HOME, Event


","Pokémon HOME, Event


",,,
Regieleki,#0894,False,"Pokémon HOME


","Pokémon HOME


",,,
Regidrago,#0895,False,"Pokémon HOME


","Pokémon HOME


",,,
Glastrier,#0896,False,Trade,Trade,,Glaseado Mountain after receiving the Glastrier Treat from Snacksworth (Only one) (Solo Quest),"Glaseado Mountain after receiving the Glastrier Treat from Snacksworth (Only one) (Group Quest)


"
Spectrier,#0897,False,Trade Version 3.0.0+,Trade Version 3.0.0+,,Glaseado Mountain after receiving the Spectrier Treat from Snacksworth (Only one) (Group Quest),"Glaseado Mountain after receiving the Spectrier Treat from Snacksworth (Only one) (Solo Quest)


"
Calyrex,#0898,False,"Pokémon HOME


","Pokémon HOME


",,,
Wyrdeer,#0899,False,Evolve Stantler in Pokémon Legends: Arceus via Pokémon HOME,Evolve Stantler in Pokémon Legends: Arceus via Pokémon HOME,"Evolve Stantler in Pokémon Legends: Arceus via Pokémon HOME


",,
Kleavor,#0900,False,"Trade, Evolve Scyther in Pokémon Legends: Arceus","Trade, Evolve Scyther in Pokémon Legends: Arceus","Canyon Biome Tera Raid Battles (6★)


",,
Ursaluna,#0901,False,"Pokémon HOME, Evolve Ursaring in Pokémon Legends: Arceus (Regular Form) Trade (Bloodmoon) Version 2.0.1+","Pokémon HOME, Evolve Ursaring in Pokémon Legends: Arceus (Regular Form) Trade (Bloodmoon) Version 2.0.1+","Timeless Woods (only one) (Bloodmoon)


",,
Basculegion,#0902,False,Trade,Trade,,"Tera Raid Battles (5★, 6★) (Male)","Tera Raid Battles (5★, 6★) (Female)


"
Sneasler,#0903,False,"Pokémon HOME


","Pokémon HOME


",,,
Overqwil,#0904,False,Trade,Trade,"Evolve Hisuian Qwilfish Tera Raid Battles (6★)


",,
Enamorus,#0905,False,"Pokémon HOME


","Pokémon HOME


",,,
Sprigatito,#0906,False,"First partner Pokémon from Clavell in Cabo Poco


","First partner Pokémon from Clavell in Cabo Poco


",,,
Floragato,#0907,False,"Evolve Sprigatito


","Evolve Sprigatito


",,,
Meowscarada,#0908,False,"Evolve Floragato


","Evolve Floragato


",,,
Fuecoco,#0909,False,"First partner Pokémon from Clavell in Cabo Poco


","First partner Pokémon from Clavell in Cabo Poco


",,,
Crocalor,#0910,False,"Evolve Fuecoco


","Evolve Fuecoco


",,,
Skeledirge,#0911,False,"Evolve Crocalor


","Evolve Crocalor


",,,
Quaxly,#0912,False,"First partner Pokémon from Clavell in Cabo Poco


","First partner Pokémon from Clavell in Cabo Poco


",,,
Quaxwell,#0913,False,"Evolve Quaxly


","Evolve Quaxly


",,,
Quaquaval,#0914,False,"Evolve Quaxwell


","Evolve Quaxwell


",,,
Lechonk,#0915,False,"South Province: Area One, Area Two, Area Three, Area Four, Area Five, Poco Path, Pokémon League East Province: Area One, Area Two Tera Raid Battles (1★)


","South Province: Area One, Area Two, Area Three, Area Four, Area Five, Poco Path, Pokémon League East Province: Area One, Area Two Tera Raid Battles (1★)


",,,
Oinkologne,#0916,False,"South Province: Area Three, Area Five East Province: Area One, Area Two, Tagtree Thicket West Province: Area Two, Area Three Tera Raid Battles (3★)


","South Province: Area Three, Area Five East Province: Area One, Area Two, Tagtree Thicket West Province: Area Two, Area Three Tera Raid Battles (3★)


",,,
Tarountula,#0917,False,"South Province: Area One, Area Two, Area Three, Area Four, Area Five, Cabo Poco, Poco Path, Pokémon League North Province: Socarrat Trail Tera Raid Battles (1★)


","South Province: Area One, Area Two, Area Three, Area Four, Area Five, Cabo Poco, Poco Path, Pokémon League North Province: Socarrat Trail Tera Raid Battles (1★)


",,,
Spidops,#0918,False,"East Province: Area One, Area Two, Tagtree Thicket West Province: Area Three North Province: Area Two, Socarrat Trail Tera Raid Battles (3★)


","East Province: Area One, Area Two, Tagtree Thicket West Province: Area Three North Province: Area Two, Socarrat Trail Tera Raid Battles (3★)


",,,
Nymble,#0919,False,"South Province: Area Two, Area Three, Area Six West Province: Area One Tera Raid Battles (1★)


","South Province: Area Two, Area Three, Area Six West Province: Area One Tera Raid Battles (1★)


",,,
Lokix,#0920,False,"South Province: Area Three, Area Four, Area Five, Area Six, Alfornada Cavern, Pokémon League East Province: Area One, Area Two, Area Three West Province: Area Two, Area Three, Asado Desert West Province: Area One (Fighting Tera Type) North Province: Area One, Area Two, Area Three, Casseroya Lake, Dalizapa Passage, Glaseado Mountain Area Zero Tera Raid Battles (3★)


","South Province: Area Three, Area Four, Area Five, Area Six, Alfornada Cavern, Pokémon League East Province: Area One, Area Two, Area Three West Province: Area Two, Area Three, Asado Desert West Province: Area One (Fighting Tera Type) North Province: Area One, Area Two, Area Three, Casseroya Lake, Dalizapa Passage, Glaseado Mountain Area Zero Tera Raid Battles (3★)


",,,
Pawmi,#0921,False,"South Province: Area One, Area Two, Area Three, Area Five, Poco Path West Province: Area One Area Zero Tera Raid Battles (1★)


","South Province: Area One, Area Two, Area Three, Area Five, Poco Path West Province: Area One Area Zero Tera Raid Battles (1★)


",,,
Pawmo,#0922,False,"South Province: Area One, Area Two, Area Three, Area Four, Area Five, Area Six, Pokémon League East Province: Area One, Area Two, Area Three West Province: Area One, Area Two, Area Three, Asado Desert North Province: Area One, Area Three, Glaseado Mountain North Province: Area Three (Steel Tera Type) Area Zero Tera Raid Battles (3★)


","South Province: Area One, Area Two, Area Three, Area Four, Area Five, Area Six, Pokémon League East Province: Area One, Area Two, Area Three West Province: Area One, Area Two, Area Three, Asado Desert North Province: Area One, Area Three, Glaseado Mountain North Province: Area Three (Steel Tera Type) Area Zero Tera Raid Battles (3★)


",,,
Pawmot,#0923,False,"Tera Raid Battles (5★, 6★)


","Tera Raid Battles (5★, 6★)


",,,
Tandemaus,#0924,False,"South Province: Pokémon League East Province: Area One, Area Two, Area Three West Province: Area Two, Area Three Tera Raid Battles (2★)","South Province: Pokémon League East Province: Area One, Area Two, Area Three West Province: Area Two, Area Three Tera Raid Battles (2★)","Kitakami Road, Apple Hills, Reveler's Road, Oni Mountain, Oni's Maw, Wistful Fields, Paradise Barrens, Kitakami Wilds


",,
Maushold,#0925,False,Tera Raid Battles (4★) (Family of Three Form) Tera Raid Battles (6★) (Family of Four Form),Tera Raid Battles (4★) (Family of Three Form) Tera Raid Battles (6★) (Family of Four Form),"Evolve Tandemaus


",,
Fidough,#0926,False,"South Province: Area One, Area Two, Area Three, Area Six, Pokémon League East Province: Area Three West Province: Area Three Tera Raid Battles (1★)


","South Province: Area One, Area Two, Area Three, Area Six, Pokémon League East Province: Area Three West Province: Area Three Tera Raid Battles (1★)


",,,
Dachsbun,#0927,False,"South Province: Area Six East Province: Area Three West Province: Area Three Tera Raid Battles (4★, 6★)


","South Province: Area Six East Province: Area Three West Province: Area Three Tera Raid Battles (4★, 6★)


",,,
Smoliv,#0928,False,"South Province: Area Two Tera Raid Battles (1★)


","South Province: Area Two Tera Raid Battles (1★)


",,,
Dolliv,#0929,False,"East Province: East Paldean Sea, Tagtree Thicket North Province: Area Three Tera Raid Battles (3★)


","East Province: East Paldean Sea, Tagtree Thicket North Province: Area Three Tera Raid Battles (3★)


",,,
Arboliva,#0930,False,"Tera Raid Battles (5★)


","Tera Raid Battles (5★)


",,,
Squawkabilly,#0931,False,"South Province: Cabo Poco (Green Plumage) East Province: Area One, Area Two, Area Three (Green/ Blue/ Yellow/ White Plumage) West Province: Area One (Green Plumage) Tera Raid Battles (4★) (Green Plumage)


","South Province: Cabo Poco (Green Plumage) East Province: Area One, Area Two, Area Three (Green/ Blue/ Yellow/ White Plumage) West Province: Area One (Green Plumage) Tera Raid Battles (4★) (Green Plumage)


",,,
Nacli,#0932,False,"South Province: Area Two, Area Three, Area Four, Area Five, Area Six, Pokémon League East Province: Area One, Area Two, Area Three, East Paldean Sea West Province: Area One, Area Two, Area Three, Asado Desert North Province: Area One, Area Two, Area Three, Casseroya Lake, Glaseado Mountain Area Zero Tera Raid Battles (1★)


","South Province: Area Two, Area Three, Area Four, Area Five, Area Six, Pokémon League East Province: Area One, Area Two, Area Three, East Paldean Sea West Province: Area One, Area Two, Area Three, Asado Desert North Province: Area One, Area Two, Area Three, Casseroya Lake, Glaseado Mountain Area Zero Tera Raid Battles (1★)


",,,
Naclstack,#0933,False,"South Province: Area Six West Province: Area Three West Province: Area Two (Ghost Tera Type) North Province: Area One, Area Two, Area Three, Casseroya Lake, Glaseado Mountain Area Zero Tera Raid Battles (3★)


","South Province: Area Six West Province: Area Three West Province: Area Two (Ghost Tera Type) North Province: Area One, Area Two, Area Three, Casseroya Lake, Glaseado Mountain Area Zero Tera Raid Battles (3★)


",,,
Garganacl,#0934,False,"Area Zero Tera Raid Battles (5★, 6★)


","Area Zero Tera Raid Battles (5★, 6★)


",,,
Charcadet,#0935,False,"South Province: Area Three, Area Four, Area Five East Province: Area One, Area Two, Area Three, Tagtree Thicket West Province: Area One, Area Two, Area Three, Asado Desert Tera Raid Battles (1★, 3★)


","South Province: Area Three, Area Four, Area Five East Province: Area One, Area Two, Area Three, Tagtree Thicket West Province: Area One, Area Two, Area Three, Asado Desert Tera Raid Battles (1★, 3★)


",,,
Armarouge,#0936,False,"South Province: Area Two Tera Raid Battles (5★, 6★)","Union Circle Tera Raid Battle Search (5★, 6★, Poké Portal News)


",,,
Ceruledge,#0937,False,"Tera Raid Battle Search (5★, 6★, Poké Portal News)","Tera Raid Battles (5★, 6★)


",,,
Tadbulb,#0938,False,"South Province: Area One, Area Two, Area Three, Area Four, Area Five East Province: Area One, Area Two, Area Three West Province: Area Two North Province: Glaseado Mountain Tera Raid Battles (1★)


","South Province: Area One, Area Two, Area Three, Area Four, Area Five East Province: Area One, Area Two, Area Three West Province: Area Two North Province: Glaseado Mountain Tera Raid Battles (1★)


",,,
Bellibolt,#0939,False,"South Province: Area Four, Area Six East Province: Area Three, Tagtree Thicket West Province: Area Two, Area Three North Province: Area Three, Glaseado Mountain North Province: Casseroya Lake (Water Tera Type) Tera Raid Battles (4★)


","South Province: Area Four, Area Six East Province: Area Three, Tagtree Thicket West Province: Area Two, Area Three North Province: Area Three, Glaseado Mountain North Province: Casseroya Lake (Water Tera Type) Tera Raid Battles (4★)


",,,
Wattrel,#0940,False,"South Province: South Paldean Sea East Province: Area Two, East Paldean Sea West Province: Area One, West Paldean Sea Tera Raid Battles (1★)


","South Province: South Paldean Sea East Province: Area Two, East Paldean Sea West Province: Area One, West Paldean Sea Tera Raid Battles (1★)


",,,
Kilowattrel,#0941,False,"South Province: Area One, Area Four, Area Five, Area Six, South Paldean Sea East Province: Area One, Area Two, Area Three, East Paldean Sea West Province: Area One, Area Two, West Paldean Sea North Province: Area One, Area Three, North Paldean Sea, Casseroya Lake Tera Raid Battles (4★, 6★)


","South Province: Area One, Area Four, Area Five, Area Six, South Paldean Sea East Province: Area One, Area Two, Area Three, East Paldean Sea West Province: Area One, Area Two, West Paldean Sea North Province: Area One, Area Three, North Paldean Sea, Casseroya Lake Tera Raid Battles (4★, 6★)


",,,
Maschiff,#0942,False,"South Province: Area One, Area Two, Area Four West Province: Area Two, Area Three Tera Raid Battles (1★)


","South Province: Area One, Area Two, Area Four West Province: Area Two, Area Three Tera Raid Battles (1★)


",,,
Mabosstiff,#0943,False,"West Province: Area Three North Province: Area Two, Casseroya Lake, Socarrat Trail Tera Raid Battles (5★, 6★)


","West Province: Area Three North Province: Area Two, Casseroya Lake, Socarrat Trail Tera Raid Battles (5★, 6★)


",,,
Shroodle,#0944,False,"South Province: Area One, Area Two East Province: Area One, Area Two, Tagtree Thicket West Province: Area Three Tera Raid Battles (1★)


","South Province: Area One, Area Two East Province: Area One, Area Two, Tagtree Thicket West Province: Area Three Tera Raid Battles (1★)


",,,
Grafaiai,#0945,False,"East Province: Tagtree Thicket North Province: Area Two, Casseroya Lake East Province: Tagtree Thicket (Bug Tera Type) Tera Raid Battles (4★, 6★)


","East Province: Tagtree Thicket North Province: Area Two, Casseroya Lake East Province: Tagtree Thicket (Bug Tera Type) Tera Raid Battles (4★, 6★)


",,,
Bramblin,#0946,False,"East Province: Area Three West Province: Asado Desert Tera Raid Battles (2★)


","East Province: Area Three West Province: Asado Desert Tera Raid Battles (2★)


",,,
Brambleghast,#0947,False,"North Province: Area One, Socarrat Trail Tera Raid Battles (5★)


","North Province: Area One, Socarrat Trail Tera Raid Battles (5★)


",,,
Toedscool,#0948,False,"South Province: Area One, Area Three, Area Four, Area Five East Province: Area One, Area Two, Tagtree Thicket West Province: Area Two, Area Three North Province: Socarrat Trail Tera Raid Battles (1★)","South Province: Area One, Area Three, Area Four, Area Five East Province: Area One, Area Two, Tagtree Thicket West Province: Area Two, Area Three North Province: Socarrat Trail Tera Raid Battles (1★)","Reveler's Road, Kitakami Hall, Mossfell Confluence, Fellhorn Gorge, Oni Mountain, Kitakami Wilds, Timeless Woods


",,
Toedscruel,#0949,False,"North Province: Socarrat Trail Tera Raid Battles (4★, 6★)","North Province: Socarrat Trail Tera Raid Battles (4★, 6★)","Kitakami Wilds, Timeless Woods


",,
Klawf,#0950,False,"South Province: Area Three South Province: Area Three Former Titan (Only one) Tera Raid Battles (6★)


","South Province: Area Three South Province: Area Three Former Titan (Only one) Tera Raid Battles (6★)


",,,
Capsakid,#0951,False,"South Province: Area Two West Province: Area One, Asado Desert Tera Raid Battles (2★)


","South Province: Area Two West Province: Area One, Asado Desert Tera Raid Battles (2★)


",,,
Scovillain,#0952,False,"South Province: Area Six North Province: Area One, Area Three, Dalizapa Passage Tera Raid Battles (4★)


","South Province: Area Six North Province: Area One, Area Three, Dalizapa Passage Tera Raid Battles (4★)


",,,
Rellor,#0953,False,West Province: Asado Desert Tera Raid Battles (1★),West Province: Asado Desert Tera Raid Battles (1★),"Savanna Biome


",,
Rabsca,#0954,False,Tera Raid Battles (4★),Tera Raid Battles (4★),"Savanna Biome


",,
Flittle,#0955,False,"South Province: Area One, Area Four, Area Five, Area Six East Province: Area Two West Province: Area One, Asado Desert North Province: Area One, Dalizapa Passage Tera Raid Battles (1★)


","South Province: Area One, Area Four, Area Five, Area Six East Province: Area Two West Province: Area One, Asado Desert North Province: Area One, Dalizapa Passage Tera Raid Battles (1★)


",,,
Espathra,#0956,False,"South Province: Area Six West Province: Asado Desert North Province: Area One, Dalizapa Passage North Province: Dalizapa Passage (Steel Tera Type) Area Zero Tera Raid Battles (4★)


","South Province: Area Six West Province: Asado Desert North Province: Area One, Dalizapa Passage North Province: Dalizapa Passage (Steel Tera Type) Area Zero Tera Raid Battles (4★)


",,,
Tinkatink,#0957,False,"South Province: Area Two, Area Three East Province: Area Two West Province: Area One, Asado Desert Tera Raid Battles (2★)


","South Province: Area Two, Area Three East Province: Area Two West Province: Area One, Asado Desert Tera Raid Battles (2★)


",,,
Tinkatuff,#0958,False,"South Province: Area Six East Province: Area Two West Province: Area Two, Asado Desert North Province: Area One, Area Three, Dalizapa Passage, Casseroya Lake West Province: Area One (Dark Tera Type) Tera Raid Battles (3★)


","South Province: Area Six East Province: Area Two West Province: Area Two, Asado Desert North Province: Area One, Area Three, Dalizapa Passage, Casseroya Lake West Province: Area One (Dark Tera Type) Tera Raid Battles (3★)


",,,
Tinkaton,#0959,False,"Tera Raid Battles (5★, 6★)


","Tera Raid Battles (5★, 6★)


",,,
Wiglett,#0960,False,"South Province: Area One, Area Five East Province: Area Two West Province: Area One, Area Two North Province: Area One Tera Raid Battles (1★)


","South Province: Area One, Area Five East Province: Area Two West Province: Area One, Area Two North Province: Area One Tera Raid Battles (1★)


",,,
Wugtrio,#0961,False,"West Province: Area Two North Province: Area One, Area Three North Province: Area One (Ground Tera Type) Tera Raid Battles (4★)


","West Province: Area Two North Province: Area One, Area Three North Province: Area One (Ground Tera Type) Tera Raid Battles (4★)


",,,
Bombirdier,#0962,False,"South Province: Area Six West Province: Area One, Area Three, West Paldean Sea West Province: Area One Former Titan (Only one) Tera Raid Battles (5★, 6★)","South Province: Area Six West Province: Area One, Area Three, West Paldean Sea West Province: Area One Former Titan (Only one) Tera Raid Battles (5★, 6★)","Fellhorn Gorge, Oni Mountain, Wistful Fields, Paradise Barrens, Kitakami Wilds, Timeless Woods


",,
Finizen,#0963,False,"South Province: South Paldean Sea East Province: East Paldean Sea West Province: Area Two, West Paldean Sea North Province: North Paldean Sea Tera Raid Battles (3★)


","South Province: South Paldean Sea East Province: East Paldean Sea West Province: Area Two, West Paldean Sea North Province: North Paldean Sea Tera Raid Battles (3★)


",,,
Palafin,#0964,False,"Tera Raid Battles (5★)


","Tera Raid Battles (5★)


",,,
Varoom,#0965,False,"East Province: Area Three West Province: Area Two Tera Raid Battles (2★)


","East Province: Area Three West Province: Area Two Tera Raid Battles (2★)


",,,
Revavroom,#0966,False,"East Province: Area Three North Province: Area One, Area Two, Dalizapa Passage North Province: Glaseado Mountain (Fire Tera Type) Tera Raid Battles (5★, 6★)


","East Province: Area Three North Province: Area One, Area Two, Dalizapa Passage North Province: Glaseado Mountain (Fire Tera Type) Tera Raid Battles (5★, 6★)


",,,
Cyclizar,#0967,False,"East Province: Area One, Area Two West Province: Area One, Area Two, Area Three West Province: Asado Desert (Flying Tera Type) Tera Raid Battles (4★, 6★)


","East Province: Area One, Area Two West Province: Area One, Area Two, Area Three West Province: Asado Desert (Flying Tera Type) Tera Raid Battles (4★, 6★)


",,,
Orthworm,#0968,False,"East Province: Area Three West Province: Asado Desert East Province: Area Three Former Titan (Only one) Tera Raid Battles (5★, 6★)","East Province: Area Three West Province: Asado Desert East Province: Area Three Former Titan (Only one) Tera Raid Battles (5★, 6★)","Apple Hills, Reveler's Road, Oni Mountain, Oni's Maw, Wistful Fields, Paradise Barrens, Kitakami Wilds


",,
Glimmet,#0969,False,"South Province: Alfornada Cavern East Province: Area Three West Province: Area Two North Province: Area One, Area Two, Glaseado Mountain Area Zero Tera Raid Battles (3★)","South Province: Alfornada Cavern East Province: Area Three West Province: Area Two North Province: Area One, Area Two, Glaseado Mountain Area Zero Tera Raid Battles (3★)","Oni Mountain, Infernal Pass, Crystal Pool


",,
Glimmora,#0970,False,"Area Zero Tera Raid Battles (5★, 6★)","Area Zero Tera Raid Battles (5★, 6★)","Oni Mountain, Crystal Pool Area Zero Underdepths


",,
Greavard,#0971,False,"West Province: Area Three North Province: Dalizapa Passage, Glaseado Mountain Tera Raid Battles (1★)


","West Province: Area Three North Province: Dalizapa Passage, Glaseado Mountain Tera Raid Battles (1★)


",,,
Houndstone,#0972,False,"North Province: Area One, Dalizapa Passage, Glaseado Mountain, Casseroya Lake, Socarrat Trail South Province: Area Five (Ground Tera Type) Tera Raid Battles (4★)


","North Province: Area One, Dalizapa Passage, Glaseado Mountain, Casseroya Lake, Socarrat Trail South Province: Area Five (Ground Tera Type) Tera Raid Battles (4★)


",,,
Flamigo,#0973,False,"South Province: Area One, Area Four, Area Five South Province: Area Five (Bug Tera Type) East Province: Area Two, Area Three West Province: Area Two, Area Three North Province: Area One, Casseroya Lake, Glaseado Mountain Area Zero Tera Raid Battles (4★)


","South Province: Area One, Area Four, Area Five South Province: Area Five (Bug Tera Type) East Province: Area Two, Area Three West Province: Area Two, Area Three North Province: Area One, Casseroya Lake, Glaseado Mountain Area Zero Tera Raid Battles (4★)


",,,
Cetoddle,#0974,False,"West Province: Area Three North Province: Dalizapa Passage, Glaseado Mountain Tera Raid Battles (3★)


","West Province: Area Three North Province: Dalizapa Passage, Glaseado Mountain Tera Raid Battles (3★)


",,,
Cetitan,#0975,False,"North Province: Glaseado Mountain Tera Raid Battles (5★, 6★)


","North Province: Glaseado Mountain Tera Raid Battles (5★, 6★)


",,,
